target_id	length	eff_length	est_counts	tpm
NR_001526	291	93.2625	0	0
NR_001526_1	291	93.2625	0	0
NR_001526_2	291	93.2625	0	0
NM_130786	1891	1674.29	115	4.90998
NR_015380	2255	2038.29	142.94	5.01301
NM_001198818	9487	9270.29	0.000303545	2.34068e-06
NM_001198819	9654	9437.29	0	0
NM_001198820	9537	9320.29	9.50426e-07	7.28956e-09
NM_014576	9394	9177.29	15.0095	0.116913
NM_138932	9418	9201.29	0	0
NM_138933	9489	9272.29	0.000240875	1.85702e-06
NM_000014	4778	4561.29	6	0.094032
NR_026971	2312	2095.29	1	0.0341168
NM_001282424	3914	3697.29	2.05004	0.0396361
NM_144670	5317	5100.29	0	0
NR_040112	1326	1109.29	0	0
NM_001080438	1148	931.29	0	0
NM_017436	2217	2000.29	524	18.7262
NM_016161	1896	1679.29	0	0
NR_037584	757	540.29	0	0
NM_001173466	1863	1646.29	35.3724	1.53593
NM_015665	1962	1745.29	1199.63	49.135
NM_023928	3446	3229.29	1056	23.3759
NR_024035	2298	2081.29	11	0.377809
NM_001086	1731	1514.29	0	0
NM_207365	1625	1408.29	0	0
NR_110202	897	680.29	0	0
NR_110203	837	620.29	0	0
NM_001103170	4174	3957.29	0	0
NR_111984	3957	3740.29	6	0.114672
NM_001013630	1700	1483.29	0	0
NR_026915	1414	1197.29	0	0
NM_001286682	2245	2028.29	0	0
NM_001286683	2318	2101.29	0	0
NM_016228	2451	2234.29	0	0
NM_182662	2233	2016.29	0	0
NM_153698	1350	1133.29	92	5.80309
NM_001271885	3208	2991.29	0.0738054	0.00176377
NM_001271886	3469	3252.29	100.527	2.20957
NM_024666	3324	3107.29	1182.4	27.2016
NM_014911	21390	21173.3	1156.12	3.90326
NM_024684	629	412.571	138	23.9107
NM_001087	1918	1701.29	2021	84.9181
NM_001088	1151	934.29	0	0
NM_001166579	2038	1821.29	18.5104	0.72652
NR_110548	1207	990.29	8.49125	0.612945
NM_001271874	2611	2394.29	770.118	22.9928
NM_015511	2890	2673.29	69.8821	1.86867
NM_001025357	1911	1694.29	4.13318	0.174385
NM_001605	3469	3252.29	4636	101.898
NM_020745	4907	4690.29	879.513	13.4046
NM_001261434	1489	1272.29	771.048	43.3219
NM_001286668	3456	3239.29	197.919	4.36767
NM_001286669	3607	3390.29	0.778393	0.0164125
NM_001286670	3131	2914.29	0.265596	0.00651479
NM_001286671	3309	3092.29	5.28426	0.122156
NM_001286672	3105	2888.29	16.779	0.415277
NM_181806	3728	3511.29	133.974	2.72751
NM_015423	2986	2769.29	1343	34.6673
NM_005763	5996	5779.29	84.7049	1.04772
NM_012138	2266	2049.29	2632	91.811
NM_001080395	5436	5219.29	0	0
NM_004920	5214	4997.29	1	0.0143047
NR_027255	1702	1485.29	0	0
NM_000663	5711	5494.29	6.24108	0.0812007
NM_001127448	5033	4816.29	0	0
NM_020686	4939	4722.29	130.759	1.97939
NM_005502	10627	10410.3	28	0.192268
NM_080282	6456	6239.29	64	0.733258
NR_002451	2020	1803.29	92.4396	3.66441
NM_015657	8210	7993.29	3.24985	0.0290636
NM_173076	9225	9008.29	17.7488	0.140844
NR_103740	9305	9088.29	0.00135795	1.06811e-05
NM_152701	17309	17092.3	20.1147	0.0841253
NR_003574	4313	4096.29	3	0.0523531
NM_001606	8279	8062.29	12.5684	0.111439
NM_212533	8271	8054.29	36.4316	0.323342
