target_id	length	eff_length	est_counts	tpm
NR_001526	291	107.38	0	0
NR_001526_1	291	107.38	0	0
NR_001526_2	291	107.38	0	0
NM_130786	1891	1941.46	314.424	9.3776
NR_015380	2255	2138.36	140.107	3.79388
NM_001198818	9487	7727.67	4.20324e-05	3.14949e-07
NM_001198819	9654	7882.36	0	0
NM_001198820	9537	7786.67	0	0
NM_014576	9394	7648.59	11.2394	0.0850873
NM_138932	9418	7665.21	0.771514	0.00582806
NM_138933	9489	7743.15	4.35206e-06	3.25448e-08
NM_000014	4778	4340.55	2	0.0266802
NR_026971	2312	1839.94	1	0.0314704
NM_001282424	3914	3546.9	1.0165	0.0165945
NM_144670	5317	4910.83	0	0
NR_040112	1326	1135.66	0	0
NM_001080438	1148	957.657	0	0
NM_017436	2217	2345.4	686	16.936
NM_016161	1896	1705.66	0	0
NR_037584	757	566.657	0	0
NM_001173466	1863	1732.9	13.9152	0.464965
NM_015665	1962	1837.17	1201.08	37.8555
NM_023928	3446	3434.8	984	16.5882
NR_024035	2298	1988.36	6	0.174728
NM_001086	1731	1540.66	0	0
NM_207365	1625	1434.66	0	0
NR_110202	897	706.657	0	0
NR_110203	837	646.657	0	0
NM_001103170	4174	3711.46	0	0
NR_111984	3957	3508.95	3	0.0495049
NM_001013630	1700	1509.66	0	0
NR_026915	1414	1223.66	0	0
NM_001286682	2245	1696.58	7.65228e-06	2.61168e-07
NM_001286683	2318	1790.3	0	0
NM_016228	2451	1954.33	0	0
NM_182662	2233	1679.67	1.01475	0.0349815
NM_153698	1350	958.64	184	11.1139
NM_001271885	3208	2594.97	188.962	4.21645
NM_001271886	3469	2909.82	31.1365	0.619595
NM_024666	3324	2719.83	601.901	12.8141
NM_014911	21390	19068.4	1085.4	3.29595
NM_024684	629	314.651	153	28.1558
NM_001087	1918	1783.56	1870	60.7097
NM_001088	1151	999.215	2.47582	0.143471
NM_001166579	2038	1912.21	14.5245	0.439815
NR_110548	1207	1029.01	0	0
NM_001271874	2611	2463.9	741.192	17.4186
NM_015511	2890	2783.31	14.8079	0.30806
NM_001025357	1911	1588.63	2.1006	0.0765642
NM_001605	3469	3327.49	6180	107.542
NM_020745	4907	5057.01	581.926	6.66313
NM_001261434	1489	1206.06	518.306	24.8841
NM_001286668	3456	2706.64	296.544	6.34398
NM_001286669	3607	2842.03	0	0
NM_001286670	3131	2440.37	78.9128	1.87239
NM_001286671	3309	2576.65	3.89637	0.0875606
NM_001286672	3105	2383.27	8.64709	0.210088
NM_181806	3728	2939.88	0	0
NM_015423	2986	2267.66	856	21.8574
NM_005763	5996	4907.42	94.9559	1.1204
NM_012138	2266	2053.76	2942	82.9462
NM_001080395	5436	6299.79	0	0
NM_004920	5214	6239.19	5	0.046403
NR_027255	1702	1511.66	0	0
NM_000663	5711	5447.64	0	0
NM_001127448	5033	4776.36	0	0
NM_020686	4939	4689.4	57	0.70382
