target_id	length	eff_length	est_counts	tpm
NR_001526	291	103.413	0	0
NR_001526_1	291	103.413	0	0
NR_001526_2	291	103.413	0	0
NM_130786	1891	1694.89	107.612	5.1092
NR_015380	2255	2058.89	82.9917	3.24367
NM_001198818	9487	9290.89	0.000118209	1.02383e-06
NM_001198819	9654	9457.89	0	0
NM_001198820	9537	9340.89	3.02445e-07	2.60551e-09
NM_014576	9394	9197.89	8.53284	0.074652
NM_138932	9418	9221.89	0.47056	0.00410611
NM_138933	9489	9292.89	9.30468e-05	8.05725e-07
NM_000014	4778	4581.89	24	0.421505
NR_026971	2312	2115.89	1	0.0380314
NM_001282424	3914	3717.89	3.01354	0.0652252
NM_144670	5317	5120.89	0	0
NR_040112	1326	1129.89	0	0
NM_001080438	1148	951.894	0	0
NM_017436	2217	2020.89	195	7.76475
NM_016161	1896	1699.89	1	0.0473385
NR_037584	757	560.894	0	0
NM_001173466	1863	1666.89	30.3989	1.46753
NM_015665	1962	1765.89	1009.6	46.0067
NM_023928	3446	3249.89	1402	34.7148
NR_024035	2298	2101.89	8	0.306278
NM_001086	1731	1534.89	0	0
NM_207365	1625	1428.89	0	0
NR_110202	897	700.894	0	0
NR_110203	837	640.894	1.06288	0.133454
NM_001103170	4174	3977.89	0	0
NR_111984	3957	3760.89	1	0.0213966
NM_001013630	1700	1503.89	0	0
NR_026915	1414	1217.89	0	0
NM_001286682	2245	2048.89	0	0
NM_001286683	2318	2121.89	0	0
NM_016228	2451	2254.89	0	0
NM_182662	2233	2036.89	0	0
NM_153698	1350	1153.89	215	14.9937
NM_001271885	3208	3011.89	0	0
NM_001271886	3469	3272.89	63.5385	1.56222
NM_024666	3324	3127.89	1000.46	25.7386
NM_014911	21390	21193.9	783.753	2.97581
NM_024684	629	432.894	60	11.1534
NM_001087	1918	1721.89	1806	84.401
NM_001088	1151	954.894	6.27081	0.528451
NM_001166579	2038	1841.89	7.72958	0.337697
NR_110548	1207	1010.89	0	0
NM_001271874	2611	2414.89	705.41	23.5061
NM_015511	2890	2693.89	74.5898	2.2281
NM_001025357	1911	1714.89	8.36446	0.392497
NM_001605	3469	3272.89	7830	192.516
NM_020745	4907	4710.89	834.55	14.2556
NM_001261434	1489	1292.89	495.389	30.8332
NM_001286668	3456	3259.89	0.0997768	0.00246299
NM_001286669	3607	3410.89	0	0
NM_001286670	3131	2934.89	34.967	0.958743
NM_001286671	3309	3112.89	0	0
NM_001286672	3105	2908.89	16.2827	0.450439
NM_181806	3728	3531.89	396.65	9.03726
NM_015423	2986	2789.89	1582	45.6305
NM_005763	5996	5799.89	103.532	1.43645
NM_012138	2266	2069.89	2350	91.36
NM_001080395	5436	5239.89	0	0
NM_004920	5214	5017.89	0	0
NR_027255	1702	1505.89	0	0
NM_000663	5711	5514.89	6.4496	0.0941092
NM_001127448	5033	4836.89	0	0
NM_020686	4939	4742.89	342.55	5.81189
NM_005502	10627	10430.9	26	0.20058
NM_080282	6456	6259.89	70	0.899844
NR_002451	2020	1823.89	139.362	6.14869
NM_015657	8210	8013.89	21.9408	0.220316
NM_173076	9225	9028.89	80.0592	0.713531
NR_103740	9305	9108.89	0	0
NM_152701	17309	17112.9	11.0084	0.051765
NR_003574	4313	4116.89	2	0.0390928
NM_001606	8279	8082.89	53	0.527649
NM_212533	8271	8074.89	8.39491e-08	8.36595e-10
NM_001089	6748	6551.89	182	2.23533
NM_000350	7450	7253.89	5	0.055467
NM_018672	9374	9177.89	401.898	3.52379
NM_172232	8302	8105.89	1119.36	11.1123
NM_080284	5421	5224.89	422	6.49937
NM_019112	6943	6746.89	407	4.8543
NM_001288985	6129	5932.89	4	0.0542537
NM_001288986	5953	5756.89	0	0
NM_007168	5848	5651.89	0	0
NM_080283	6426	6229.89	50.5138	0.652478
NM_000927	4841	4644.89	34.0998	0.590761
