target_id	length	eff_length	est_counts	tpm
NR_001526	291	107.269	0	0
NR_001526_1	291	107.269	0	0
NR_001526_2	291	107.269	0	0
NM_130786	1891	1696.48	109.02	3.54876
NR_015380	2255	2060.48	127.188	3.40876
NM_001198818	9487	9292.48	4.1952e-05	2.4931e-07
NM_001198819	9654	9459.48	0	0
NM_001198820	9537	9342.48	1.10962e-07	6.55887e-10
NM_014576	9394	9199.48	2.84548	0.0170809
NM_138932	9418	9223.48	0.159471	0.000954784
NM_138933	9489	9294.48	3.30661e-05	1.96461e-07
NM_000014	4778	4583.48	20	0.240965
NR_026971	2312	2117.48	1	0.0260795
NM_001282424	3914	3719.48	3.04939	0.045274
NM_144670	5317	5122.48	0	0
NR_040112	1326	1131.48	1	0.0488059
NM_001080438	1148	953.478	0	0
NM_017436	2217	2022.48	811	22.144
NM_016161	1896	1701.48	0	0
NR_037584	757	562.603	0	0
NM_001173466	1863	1668.48	50.6909	1.67775
NM_015665	1962	1767.48	1547.31	48.3439
NM_023928	3446	3251.48	1593	27.0554
NR_024035	2298	2103.48	5	0.131265
NM_001086	1731	1536.48	0	0
NM_207365	1625	1430.48	0	0
NR_110202	897	702.478	0	0
NR_110203	837	642.478	5.18464	0.445634
NM_001103170	4174	3979.48	0	0
NR_111984	3957	3762.48	2	0.0293545
NM_001013630	1700	1505.48	0	0
NR_026915	1414	1219.48	0	0
NM_001286682	2245	2050.48	0	0
NM_001286683	2318	2123.48	0	0
NM_016228	2451	2256.48	0	0
NM_182662	2233	2038.48	2.02664	0.0549022
NM_153698	1350	1155.48	168	8.02908
NM_001271885	3208	3013.48	1.22313e-08	2.24142e-10
NM_001271886	3469	3274.48	212.103	3.57704
NM_024666	3324	3129.48	1811.9	31.9727
NM_014911	21390	21195.5	2389.06	6.22447
NM_024684	629	434.703	137	17.4039
NM_001087	1918	1723.48	3175	101.732
NM_001088	1151	956.478	1.23452	0.0712755
NM_001166579	2038	1843.48	7.76643	0.232649
NR_110548	1207	1012.48	0	0
NM_001271874	2611	2416.48	1204.52	27.5263
NM_015511	2890	2695.48	160.484	3.28786
NM_001025357	1911	1716.48	4.80203	0.154492
NM_001605	3469	3274.48	7549	127.311
NM_020745	4907	4712.48	1432.36	16.7849
NM_001261434	1489	1294.48	859.173	36.6525
NM_001286668	3456	3261.48	149.952	2.53896
NM_001286669	3607	3412.48	0	0
NM_001286670	3131	2936.48	9.10473	0.171222
NM_001286671	3309	3114.48	27.4252	0.486277
NM_001286672	3105	2910.48	38.9024	0.738126
NM_181806	3728	3533.48	258.616	4.04176
NM_015423	2986	2791.48	2202.97	43.5805
NM_005763	5996	5801.48	147.857	1.40741
NM_012138	2266	2071.48	3913	104.315
NM_001080395	5436	5241.48	0	0
NM_004920	5214	5019.48	5	0.0550085
NR_027255	1702	1507.48	0	0
NM_000663	5711	5516.48	0	0
NM_001127448	5033	4838.48	5.01606e-08	5.72495e-10
NM_020686	4939	4744.48	133	1.54804
