target_id	length	eff_length	est_counts	tpm
NR_001526	291	103.413	0	0
NR_001526_1	291	103.413	0	0
NR_001526_2	291	103.413	0	0
NM_130786	1891	1939.18	108.581	3.84083
NR_015380	2255	2135.81	86.1636	2.76726
NM_001198818	9487	7818.36	1.86877e-05	1.63957e-07
NM_001198819	9654	7976.44	0	0
NM_001198820	9537	7877.49	0	0
NM_014576	9394	7736.24	8.45003	0.0749234
NM_138932	9418	7753.08	0.553812	0.00489978
NM_138933	9489	7831.47	2.70149e-06	2.36619e-08
NM_000014	4778	4417.1	24	0.372703
NR_026971	2312	1869.35	1	0.0366943
NM_001282424	3914	3581.5	3.01276	0.0577017
NM_144670	5317	4957.21	0	0
NR_040112	1326	1129.89	0	0
NM_001080438	1148	951.894	0	0
NM_017436	2217	2316.8	195	5.77345
NM_016161	1896	1540.76	1	0.0445198
NR_037584	757	560.894	0	0
NM_001173466	1863	1721.11	30.6998	1.22353
NM_015665	1962	1826.16	1009.3	37.9115
NM_023928	3446	3445.1	1402	27.9149
NR_024035	2298	2008.53	8	0.273213
NM_001086	1731	1534.89	0	0
NM_207365	1625	1428.89	0	0
NR_110202	897	557.748	0	0
NR_110203	837	507.757	1.15346	0.155825
NM_001103170	4174	3753.83	0	0
NR_111984	3957	3549.61	1	0.0193245
NM_001013630	1700	1503.89	0	0
NR_026915	1414	1217.89	0	0
NM_001286682	2245	2048.89	0	0
NM_001286683	2318	2121.89	0	0
NM_016228	2451	2254.89	0	0
NM_182662	2233	2036.89	0	0
NM_153698	1350	963.428	215	15.3076
NM_001271885	3208	2623.67	1.23499e-05	3.22883e-07
NM_001271886	3469	2938.47	51.476	1.20163
NM_024666	3324	2750.86	1012.52	25.248
NM_014911	21390	19285.7	784.387	2.78987
NM_024684	629	304.511	60	13.5157
NM_001087	1918	1774.86	1806	69.7979
NM_001088	1151	993.729	7.04096	0.486018
NM_001166579	2038	1913.73	7.95942	0.285293
NR_110548	1207	1027.13	0	0
NM_001271874	2611	2478.87	721.005	19.9514
NM_015511	2890	2803.07	60.9954	1.49263
NM_001025357	1911	1598.7	8.38279	0.359675
NM_001605	3469	3357.13	7832	160.027
NM_020745	4907	5057.58	833.822	11.3089
NM_001261434	1489	1216.47	498.63	28.1168
NM_001286668	3456	2764.61	1.75004	0.0434212
NM_001286669	3607	2907.15	0	0
NM_001286670	3131	2493.63	35.4775	0.97591
NM_001286671	3309	2653.27	0	0
NM_001286672	3105	2439.19	17.3731	0.488565
NM_181806	3728	3006.12	393.399	8.9767
NM_015423	2986	2313.13	1582	46.9133
NM_005763	5996	4973.41	103.665	1.42977
NM_012138	2266	2075.73	2350	77.6581
NM_001080395	5436	5239.89	0	0
NM_004920	5214	5017.89	0	0
NR_027255	1702	1505.89	0	0
NM_000663	5711	5532.01	6.15874	0.0763656
NM_001127448	5033	4806.1	0	0
NM_020686	4939	4716.31	342.841	4.98631
NM_005502	10627	9889.17	26	0.180344
NM_080282	6456	5278.86	70	0.909592
NR_002451	2020	1579.13	139.3	6.05089
NM_015657	8210	7239.75	24.9796	0.236674
NM_173076	9225	8197.66	77.0204	0.644473
NR_103740	9305	8264.09	0	0
NM_152701	17309	15413.8	11.0091	0.0489927
NR_003574	4313	4148.91	2	0.0330663
NM_001606	8279	9688.35	53	0.375245
NM_212533	8271	9665.9	3.84004e-08	2.7251e-10
NM_001089	6748	7524.06	182	1.65924
NM_000350	7450	7512.33	5	0.0456546
NM_018672	9374	7407.19	370.282	3.429
NM_172232	8302	6446.16	1153.04	12.2697
NM_080284	5421	4479.98	423	6.47669
NM_019112	6943	8120.06	407	3.43814
NM_001288985	6129	5327.61	4	0.0515011
NM_001288986	5953	5756.89	0	0
NM_007168	5848	5651.89	0	0
NM_080283	6426	5528.41	51.5051	0.639056
NM_000927	4841	4259.88	34.101	0.549109
