target_id	length	eff_length	est_counts	tpm
NR_001526	291	107.269	0	0
NR_001526_1	291	107.269	0	0
NR_001526_2	291	107.269	0	0
NM_130786	1891	1886.35	110.45	2.78624
NR_015380	2255	2077.02	129.994	2.97823
NM_001198818	9487	7899.14	9.17591e-06	5.52771e-08
NM_001198819	9654	8057.34	0	0
NM_001198820	9537	7957.36	0	0
NM_014576	9394	7815.76	2.79112	0.0169935
NM_138932	9418	7832.36	0.214101	0.00130077
NM_138933	9489	7911.82	1.53146e-06	9.21095e-09
NM_000014	4778	4357.36	21	0.229336
NR_026971	2312	1868.52	1	0.025467
NM_001282424	3914	3531.87	3.04948	0.0410863
NM_144670	5317	4896.69	0	0
NR_040112	1326	915.528	1	0.0519762
NM_001080438	1148	953.478	0	0
NM_017436	2217	2241.63	812	17.2372
NM_016161	1896	1701.48	0	0
NR_037584	757	562.603	0	0
NM_001173466	1863	1678.22	50.9175	1.44375
NM_015665	1962	1779.58	1547.08	41.3686
NM_023928	3446	3374.71	1593	22.4623
NR_024035	2298	1982.4	5	0.12002
NM_001086	1731	1536.48	0	0
NM_207365	1625	1132.43	1	0.0420208
NR_110202	897	562.805	0	0
NR_110203	837	510.765	5.37683	0.500935
NM_001103170	4174	3708.22	0	0
NR_111984	3957	3498.99	2	0.0271997
NM_001013630	1700	1505.48	0	0
NR_026915	1414	1219.48	0	0
NM_001286682	2245	2050.48	0	0
NM_001286683	2318	1825.03	0	0
NM_016228	2451	1989.35	0	0
NM_182662	2233	1716.41	2.02773	0.0562166
NM_153698	1350	961.579	168	8.31382
NM_001271885	3208	2623.76	0.00027737	5.03051e-06
NM_001271886	3469	2933.77	175.511	2.84678
NM_024666	3324	2750.8	1848.49	31.9767
NM_014911	21390	19277.7	2388.57	5.896
NM_024684	629	303.57	145	22.7293
NM_001087	1918	1720.17	3175	87.8313
NM_001088	1151	963.688	1.23538	0.0610014
NM_001166579	2038	1864.77	7.76553	0.198162
NR_110548	1207	1001.97	0	0
NM_001271874	2611	2425.4	1223.17	23.9982
NM_015511	2890	2744.29	143.832	2.49404
NM_001025357	1911	1589.38	4.79919	0.143687
NM_001605	3469	3289.45	7556	109.306
NM_020745	4907	4918.43	1431.66	13.8513
NM_001261434	1489	1199.96	866.839	34.3754
NM_001286668	3456	2792.42	158.051	2.69335
NM_001286669	3607	2931.86	0	0
NM_001286670	3131	2512.4	9.50708	0.180067
NM_001286671	3309	2656.46	28.9639	0.518835
NM_001286672	3105	2457.94	42.833	0.829245
NM_181806	3728	3031.69	245.645	3.85567
NM_015423	2986	2350.15	2202.97	44.6056
NM_005763	5996	4998.16	148.114	1.41014
NM_012138	2266	2058.88	3913	90.4389
NM_001080395	5436	6100.06	0	0
NM_004920	5214	5983.87	5	0.0397616
NR_027255	1702	1507.48	0	0
NM_000663	5711	5423.88	0	0
NM_001127448	5033	4741.79	3.23261e-08	3.24405e-10
NM_020686	4939	4655.13	133	1.35955
NM_005502	10627	9820.74	30	0.145363
