target_id	length	eff_length	est_counts	tpm
NR_001526	291	93.2625	0	0
NR_001526_1	291	93.2625	0	0
NR_001526_2	291	93.2625	0	0
NM_130786	1891	1850.13	116	3.74699
NR_015380	2255	2047.25	146.408	4.27387
NM_001198818	9487	7925.64	1.58297e-05	1.19362e-07
NM_001198819	9654	8159.56	0	0
NM_001198820	9537	7982.09	0	0
NM_014576	9394	7840.26	15.0108	0.114419
NM_138932	9418	7931.37	0	0
NM_138933	9489	7934.28	4.24844e-06	3.19999e-08
NM_000014	4778	4341.88	6	0.0825849
NR_026971	2312	1843.65	1	0.0324151
NM_001282424	3914	3513.93	2.04965	0.0348589
NM_144670	5317	4880.34	0	0
NR_040112	1326	1109.29	0	0
NM_001080438	1148	931.29	0	0
NM_017436	2217	2198.66	524	14.2429
NM_016161	1896	1679.29	0	0
NR_037584	757	540.29	0	0
NM_001173466	1863	1648.7	35.7568	1.29612
NM_015665	1962	1751.07	1199.24	40.929
NM_023928	3446	3345.08	1056	18.8662
NR_024035	2298	1958.32	11	0.335689
NM_001086	1731	1514.29	0	0
NM_207365	1625	1408.29	0	0
NR_110202	897	680.29	0	0
NR_110203	837	620.29	0	0
NM_001103170	4174	3693.48	0	0
NR_111984	3957	3483.63	6	0.102931
NM_001013630	1700	1483.29	0	0
NR_026915	1414	1197.29	0	0
NM_001286682	2245	2028.29	0	0
NM_001286683	2318	2101.29	0	0
NM_016228	2451	2234.29	0	0
NM_182662	2233	2016.29	0	0
NM_153698	1350	944.194	92	5.82309
NM_001271885	3208	2619.58	78.1862	1.78371
NM_001271886	3469	2921.92	81.2624	1.66207
NM_024666	3324	2745.93	1124.55	24.4746
NM_014911	21390	19359.8	1156.32	3.56948
NM_024684	629	283.008	138	29.1411
NM_001087	1918	1694.9	2021	71.2606
NM_001088	1151	915.03	0	0
NM_001166579	2038	1838.39	18.5191	0.602016
NR_110548	1207	1001.04	8.48242	0.506401
NM_001271874	2611	2396.43	796.732	19.8689
NM_015511	2890	2708.91	43.2679	0.954549
NM_001025357	1911	1574.69	4.13028	0.156752
NM_001605	3469	3268.94	4642	84.8644
NM_020745	4907	4890.6	878.79	10.7387
NM_001261434	1489	1174.19	772.843	39.3351
NM_001286668	3456	2782.59	201.351	4.32446
NM_001286669	3607	2920.62	0.0832567	0.00170361
NM_001286670	3131	2498.88	3.02682	0.0723882
NM_001286671	3309	2644.84	5.44282	0.122985
NM_001286672	3105	2448.77	17.2973	0.42214
NM_181806	3728	3021.73	127.798	2.52752
NM_015423	2986	2342.7	1343	34.2599
NM_005763	5996	5009.71	84.8761	1.01251
NM_012138	2266	2013.98	2632	78.1011
NM_001080395	5436	6045.32	0	0
NM_004920	5214	5923.8	1	0.0100885
NR_027255	1702	1485.29	0	0
NM_000663	5711	5429.77	5.9463	0.0654474
NM_001127448	5033	4682.34	0	0
NM_020686	4939	4622.45	131.054	1.69435
NM_005502	10627	9814.2	28	0.170502
NM_080282	6456	5343.78	64	0.715745
NR_002451	2020	1566.04	92.2264	3.51949
NM_015657	8210	7255.65	3.94617	0.0325032
NM_173076	9225	8219.61	17.0533	0.123989
NR_103740	9305	8286.41	0.000530837	3.82843e-06
NM_152701	17309	15493.8	20.1229	0.0776176
NR_003574	4313	4065.62	3	0.0440982
NM_001606	8279	9342.35	4.98322	0.0318772
NM_212533	8271	9325.46	44.0168	0.282082
NM_001089	6748	7280.13	87	0.714178
